#FamilyID	SampleID	FatherID	MotherID	Sex	Population	Superpopulation	is_duo	is_trio	is_quartet	is_multigen	Sample_Illumina	Father_Illumina	Mother_Illumina	Sex_char
BB08	HG01985	0	0	2	ACB	AFR	0	0	0	0	PRJEB31736.2504	n/a	n/a	f
BB19	HG02111	0	0	2	ACB	AFR	0	0	0	0	PRJEB31736.2504	n/a	n/a	f
BB26	HG02284	0	0	1	ACB	AFR	0	0	0	0	PRJEB31736.2504	n/a	n/a	m
BB28	HG02322	0	0	2	ACB	AFR	0	0	0	0	PRJEB31736.2504	n/a	n/a	f
BB29	HG02323	0	0	1	ACB	AFR	0	0	0	0	PRJEB31736.2504	n/a	n/a	m
BB30	HG02325	0	0	2	ACB	AFR	0	0	0	0	PRJEB31736.2504	n/a	n/a	f
BB31	HG02337	0	0	2	ACB	AFR	0	0	0	0	PRJEB31736.2504	n/a	n/a	f
BB32	HG02334	0	0	1	ACB	AFR	0	0	0	0	PRJEB31736.2504	n/a	n/a	m
BB33	HG02330	0	0	1	ACB	AFR	0	0	0	0	PRJEB31736.2504	n/a	n/a	m
BB34	HG02339	0	0	2	ACB	AFR	0	0	0	0	PRJEB31736.2504	n/a	n/a	f
BB35	HG02343	0	0	1	ACB	AFR	0	0	0	0	PRJEB31736.2504	n/a	n/a	m
BB36	HG02419	0	0	2	ACB	AFR	0	0	0	0	PRJEB31736.2504	n/a	n/a	f
BB39	HG02429	0	0	1	ACB	AFR	0	0	0	0	PRJEB31736.2504	n/a	n/a	m
BB41	HG02433	0	0	1	ACB	AFR	0	0	0	0	PRJEB31736.2504	n/a	n/a	m
BB42	HG02439	0	0	1	ACB	AFR	0	0	0	0	PRJEB31736.2504	n/a	n/a	m
BB43	HG02442	0	0	1	ACB	AFR	0	0	0	0	PRJEB31736.2504	n/a	n/a	m
BB44	HG02445	0	0	1	ACB	AFR	0	0	0	0	PRJEB31736.2504	n/a	n/a	m
BB45	HG02489	0	0	1	ACB	AFR	0	0	0	0	PRJEB31736.2504	n/a	n/a	m
