#FamilyID	SampleID	FatherID	MotherID	Sex	Population	Superpopulation	is_duo	is_trio	is_quartet	is_multigen	Sample_Illumina	Father_Illumina	Mother_Illumina	Sex_char
m004xm009	NA19675	NA19679	NA19678	2	MXL	AMR	0	1	1	1	PRJEB36890.698	PRJEB31736.2504	PRJEB31736.2504	f
m004xm009	NA19680	NA19679	NA19678	2	MXL	AMR	0	1	1	0	PRJEB36890.698	PRJEB31736.2504	PRJEB31736.2504	f
m008xm011	NA19662	NA19661	NA19660	2	MXL	AMR	0	1	1	0	PRJEB36890.698	PRJEB31736.2504	PRJEB36890.698	f
m008xm011	NA19685	NA19661	NA19660	1	MXL	AMR	0	1	1	1	PRJEB36890.698	PRJEB31736.2504	PRJEB36890.698	m
SH074xSH089	HG00658	HG00656	HG00657	1	CHS	EAS	0	1	1	0	PRJEB36890.698	PRJEB31736.2504	PRJEB31736.2504	m
SH074xSH089	HG00702	HG00656	HG00657	2	CHS	EAS	0	1	1	1	PRJEB36890.698	PRJEB31736.2504	PRJEB31736.2504	f
ST006	HG04204	HG03679	HG03642	1	STU	SAS	0	1	1	0	PRJEB36890.698	PRJEB31736.2504	PRJEB31736.2504	m
ST006	HG04215	HG03679	HG03642	1	STU	SAS	0	1	1	0	PRJEB36890.698	PRJEB31736.2504	PRJEB31736.2504	m
ST116	HG03992	HG03943	HG03944	1	STU	SAS	0	1	1	1	PRJEB36890.698	PRJEB31736.2504	PRJEB31736.2504	m
ST116	HG04036	HG03943	HG03944	2	STU	SAS	0	1	1	1	PRJEB36890.698	PRJEB31736.2504	PRJEB31736.2504	f
