#FamilyID	SampleID	FatherID	MotherID	Sex	Population	Superpopulation	is_duo	is_trio	is_quartet	is_multigen	Sample_Illumina	Father_Illumina	Mother_Illumina	Sex_char
Y028	NA18913	0	NA19238	1	YRI	AFR	1	0	0	1	PRJEB36890.698	n/a	PRJEB31736.2504	m
Y028	NA18914	NA18913	NA18912	1	YRI	AFR	0	1	0	1	PRJEB36890.698	PRJEB36890.698	PRJEB31736.2504	m
m004xm009	NA19675	NA19679	NA19678	2	MXL	AMR	0	1	1	1	PRJEB36890.698	PRJEB31736.2504	PRJEB31736.2504	f
m004xm009	NA19677	NA19676	NA19675	2	MXL	AMR	0	1	0	1	PRJEB36890.698	PRJEB31736.2504	PRJEB36890.698	f
m008xm011	NA19685	NA19661	NA19660	1	MXL	AMR	0	1	1	1	PRJEB36890.698	PRJEB31736.2504	PRJEB36890.698	m
m008xm011	NA19686	NA19685	NA19684	2	MXL	AMR	0	1	0	1	PRJEB36890.698	PRJEB36890.698	PRJEB31736.2504	f
SH074xSH089	HG00702	HG00656	HG00657	2	CHS	EAS	0	1	1	1	PRJEB36890.698	PRJEB31736.2504	PRJEB31736.2504	f
SH074xSH089	HG00703	HG00701	HG00702	1	CHS	EAS	0	1	0	1	PRJEB36890.698	PRJEB31736.2504	PRJEB36890.698	m
ST116	HG03992	HG03943	HG03944	1	STU	SAS	0	1	1	1	PRJEB36890.698	PRJEB31736.2504	PRJEB31736.2504	m
ST116	HG04036	HG03943	HG03944	2	STU	SAS	0	1	1	1	PRJEB36890.698	PRJEB31736.2504	PRJEB31736.2504	f
