#FamilyID	SampleID	FatherID	MotherID	Sex	Population	Superpopulation	is_duo	is_trio	is_quartet	is_multigen	Sample_Illumina	Father_Illumina	Mother_Illumina	Sex_char
BB11	HG01960	HG01988	HG01989	2	ACB	AFR	0	1	0	0	PRJEB36890.698	PRJEB31736.2504	PRJEB31736.2504	f
2368	NA19705	NA19703	NA19704	1	ASW	AFR	0	1	0	0	PRJEB36890.698	PRJEB31736.2504	PRJEB31736.2504	m
2418	NA19828	NA19818	NA19819	1	ASW	AFR	0	1	0	0	PRJEB36890.698	PRJEB31736.2504	PRJEB31736.2504	m
2424	NA19836	NA19834	NA19835	2	ASW	AFR	0	1	0	0	PRJEB36890.698	PRJEB31736.2504	PRJEB31736.2504	f
2427	NA19919	NA19908	NA19909	1	ASW	AFR	0	1	0	0	PRJEB36890.698	PRJEB31736.2504	PRJEB31736.2504	m
2431	NA19918	NA19916	NA19917	1	ASW	AFR	0	1	0	0	PRJEB36890.698	PRJEB31736.2504	PRJEB31736.2504	m
NG36	HG03131	HG03130	HG03129	1	ESN	AFR	0	1	0	0	PRJEB36890.698	PRJEB31736.2504	PRJEB31736.2504	m
GB22	HG02575	HG02573	HG02574	1	GWD	AFR	0	1	0	0	PRJEB36890.698	PRJEB31736.2504	PRJEB31736.2504	m
GB57	HG02770	HG02768	HG02769	2	GWD	AFR	0	1	0	0	PRJEB36890.698	PRJEB31736.2504	PRJEB31736.2504	f
GB73	HG02838	HG02836	HG02837	1	GWD	AFR	0	1	0	0	PRJEB36890.698	PRJEB31736.2504	PRJEB31736.2504	m
SL05	HG03065	HG03063	HG03064	1	MSL	AFR	0	1	0	0	PRJEB36890.698	PRJEB31736.2504	PRJEB31736.2504	m
SL59	HG03480	HG03478	HG03479	2	MSL	AFR	0	1	0	0	PRJEB36890.698	PRJEB31736.2504	PRJEB31736.2504	f
Y005	NA18503	NA18504	NA18505	1	YRI	AFR	0	1	0	0	PRJEB36890.698	PRJEB31736.2504	PRJEB31736.2504	m
Y027	NA18911	NA18910	NA18909	1	YRI	AFR	0	1	0	0	PRJEB36890.698	PRJEB31736.2504	PRJEB31736.2504	m
Y028	NA18914	NA18913	NA18912	1	YRI	AFR	0	1	0	1	PRJEB36890.698	PRJEB36890.698	PRJEB31736.2504	m
Y030	NA18930	NA18917	NA18916	2	YRI	AFR	0	1	0	0	PRJEB36890.698	PRJEB31736.2504	PRJEB31736.2504	f
Y035	NA19199	NA19198	NA19197	2	YRI	AFR	0	1	0	0	PRJEB36890.698	PRJEB31736.2504	PRJEB31736.2504	f
Y050	NA19211	NA19210	NA19209	1	YRI	AFR	0	1	0	0	PRJEB36890.698	PRJEB31736.2504	PRJEB31736.2504	m
Y060	NA19120	NA19119	NA19116	1	YRI	AFR	0	1	0	0	PRJEB36890.698	PRJEB31736.2504	PRJEB31736.2504	m
Y092	NA19258	NA19256	NA19257	1	YRI	AFR	0	1	0	0	PRJEB36890.698	PRJEB31736.2504	PRJEB31736.2504	m
CLM03	HG01114	HG01112	HG01113	2	CLM	AMR	0	1	0	0	PRJEB36890.698	PRJEB31736.2504	PRJEB31736.2504	f
CLM23	HG01279	HG01277	HG01278	2	CLM	AMR	0	1	0	0	PRJEB36890.698	PRJEB31736.2504	PRJEB36890.698	f
CLM31	HG01358	HG01356	HG01357	1	CLM	AMR	0	1	0	0	PRJEB36890.698	PRJEB31736.2504	PRJEB31736.2504	m
CLM32	HG01361	HG01359	HG01360	2	CLM	AMR	0	1	0	0	PRJEB36890.698	PRJEB31736.2504	PRJEB31736.2504	f
CLM51	HG01457	HG01455	HG01456	1	CLM	AMR	0	1	0	0	PRJEB36890.698	PRJEB31736.2504	PRJEB31736.2504	m
m001	NA19650	NA19649	NA19648	1	MXL	AMR	0	1	0	0	PRJEB36890.698	PRJEB31736.2504	PRJEB31736.2504	m
m004xm009	NA19677	NA19676	NA19675	2	MXL	AMR	0	1	0	1	PRJEB36890.698	PRJEB31736.2504	PRJEB36890.698	f
m005	NA19653	NA19652	NA19651	2	MXL	AMR	0	1	0	0	PRJEB36890.698	PRJEB31736.2504	PRJEB31736.2504	f
m010	NA19683	NA19682	NA19681	2	MXL	AMR	0	1	0	0	PRJEB36890.698	PRJEB31736.2504	PRJEB31736.2504	f
m015	NA19721	NA19720	NA19719	2	MXL	AMR	0	1	0	0	PRJEB36890.698	PRJEB31736.2504	PRJEB31736.2504	f
m018	NA19730	NA19729	NA19728	2	MXL	AMR	0	1	0	0	PRJEB36890.698	PRJEB31736.2504	PRJEB31736.2504	f
m019	NA19733	NA19732	NA19731	2	MXL	AMR	0	1	0	0	PRJEB36890.698	PRJEB31736.2504	PRJEB31736.2504	f
m023	NA19748	NA19747	NA19746	2	MXL	AMR	0	1	0	0	PRJEB36890.698	PRJEB31736.2504	PRJEB31736.2504	f
m028	NA19763	NA19762	NA19761	2	MXL	AMR	0	1	0	0	PRJEB36890.698	PRJEB31736.2504	PRJEB31736.2504	f
PEL011	HG01928	HG01926	HG01927	1	PEL	AMR	0	1	0	0	PRJEB36890.698	PRJEB31736.2504	PRJEB31736.2504	m
PEL015	HG01940	HG01938	HG01939	2	PEL	AMR	0	1	0	0	PRJEB36890.698	PRJEB31736.2504	PRJEB31736.2504	f
PR16	HG01068	HG01066	HG01067	2	PUR	AMR	0	1	0	0	PRJEB36890.698	PRJEB31736.2504	PRJEB31736.2504	f
PR19	HG01103	HG01101	HG01102	2	PUR	AMR	0	1	0	0	PRJEB36890.698	PRJEB31736.2504	PRJEB31736.2504	f
PR34	HG01249	HG01110	HG01111	2	PUR	AMR	0	1	0	0	PRJEB36890.698	PRJEB31736.2504	PRJEB31736.2504	f
PR49	HG01206	HG01204	HG01205	1	PUR	AMR	0	1	0	0	PRJEB36890.698	PRJEB31736.2504	PRJEB31736.2504	m
SH001	HG00405	HG00403	HG00404	2	CHS	EAS	0	1	0	0	PRJEB36890.698	PRJEB31736.2504	PRJEB31736.2504	f
SH002	HG00408	HG00406	HG00407	2	CHS	EAS	0	1	0	0	PRJEB36890.698	PRJEB31736.2504	PRJEB31736.2504	f
SH007	HG00423	HG00421	HG00422	2	CHS	EAS	0	1	0	0	PRJEB36890.698	PRJEB31736.2504	PRJEB31736.2504	f
SH012	HG00438	HG00436	HG00437	2	CHS	EAS	0	1	0	0	PRJEB36890.698	PRJEB31736.2504	PRJEB31736.2504	f
SH014	HG00444	HG00442	HG00443	1	CHS	EAS	0	1	0	0	PRJEB36890.698	PRJEB31736.2504	PRJEB31736.2504	m
SH016	HG00450	HG00448	HG00449	2	CHS	EAS	0	1	0	0	PRJEB36890.698	PRJEB31736.2504	PRJEB31736.2504	f
SH019	HG00459	HG00457	HG00458	1	CHS	EAS	0	1	0	0	PRJEB36890.698	PRJEB31736.2504	PRJEB31736.2504	m
SH024	HG00474	HG00472	HG00473	1	CHS	EAS	0	1	0	0	PRJEB36890.698	PRJEB31736.2504	PRJEB31736.2504	m
