#FamilyID	SampleID	FatherID	MotherID	Sex	Population	Superpopulation	is_duo	is_trio	is_quartet	is_multigen	Sample_Illumina	Father_Illumina	Mother_Illumina	Sex_char
BB01	HG01879	0	0	1	ACB	AFR	0	0	0	0	PRJEB31736.2504	n/a	n/a	m
BB01	HG01880	0	0	2	ACB	AFR	0	0	0	0	PRJEB31736.2504	n/a	n/a	f
BB01	HG01881	HG01879	HG01880	2	ACB	AFR	0	1	0	0	PRJEB36890.698	PRJEB31736.2504	PRJEB31736.2504	f
BB02	HG01882	0	0	1	ACB	AFR	0	0	0	0	PRJEB31736.2504	n/a	n/a	m
BB02	HG01883	0	0	2	ACB	AFR	0	0	0	0	PRJEB31736.2504	n/a	n/a	f
BB02	HG01888	HG01882	HG01883	1	ACB	AFR	0	1	0	0	PRJEB36890.698	PRJEB31736.2504	PRJEB31736.2504	m
BB03	HG01884	HG01885	HG01956	2	ACB	AFR	0	1	0	0	PRJEB36890.698	PRJEB31736.2504	PRJEB31736.2504	f
BB03	HG01885	0	0	1	ACB	AFR	0	0	0	0	PRJEB31736.2504	n/a	n/a	m
BB03	HG01956	0	0	2	ACB	AFR	0	0	0	0	PRJEB31736.2504	n/a	n/a	f
BB04	HG01886	0	0	2	ACB	AFR	0	0	0	0	PRJEB31736.2504	n/a	n/a	f
BB04	HG01887	HG02014	HG01886	1	ACB	AFR	0	1	0	0	PRJEB36890.698	PRJEB31736.2504	PRJEB31736.2504	m
BB04	HG02014	0	0	1	ACB	AFR	0	0	0	0	PRJEB31736.2504	n/a	n/a	m
BB05	HG01889	0	0	2	ACB	AFR	0	0	0	0	PRJEB31736.2504	n/a	n/a	f
BB05	HG01890	0	0	1	ACB	AFR	0	0	0	0	PRJEB31736.2504	n/a	n/a	m
BB05	HG01891	HG01890	HG01889	2	ACB	AFR	0	1	0	0	PRJEB36890.698	PRJEB31736.2504	PRJEB31736.2504	f
BB06	HG01894	0	0	2	ACB	AFR	0	0	0	0	PRJEB31736.2504	n/a	n/a	f
BB06	HG01895	HG01912	HG01894	1	ACB	AFR	0	1	0	0	PRJEB36890.698	PRJEB31736.2504	PRJEB31736.2504	m
BB06	HG01912	0	0	1	ACB	AFR	0	0	0	0	PRJEB31736.2504	n/a	n/a	m
BB07	HG01896	0	0	2	ACB	AFR	0	0	0	0	PRJEB31736.2504	n/a	n/a	f
